# Backoff Power Limit Table (unit is 0.5 dBm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,,,,,,,,RU26,,,,,,,,,,,,,,,,,,,,RU52,,,,,,,,,,,,,,,,,,,,RU106,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Band: 2.4G,1T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss
Ch1,24.5,21.5,0,0,24,21,0,0,21,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,20.5,17.5,0,0,17.5,0,0,0,0,0,16.5,0,0,17.5,0,0,0,0,0,18,15,0,0,15,0,0,0,0,0,14,0,0,15,0,0,0,0,0,18,15,0,0,15,0,0,0,0,0,14,0,0,15,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0
Ch2,24.5,21.5,0,0,24,21,0,0,21,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,20.5,17.5,0,0,17.5,0,0,0,0,0,16.5,0,0,17.5,0,0,0,0,0,18,15,0,0,15,0,0,0,0,0,14,0,0,15,0,0,0,0,0,18,15,0,0,15,0,0,0,0,0,14,0,0,15,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0
Ch3,24.5,21.5,0,0,24,21,0,0,21,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,20.5,17.5,0,0,17.5,0,0,0,0,0,16.5,0,0,17.5,0,0,0,0,0,18,15,0,0,15,0,0,0,0,0,14,0,0,15,0,0,0,0,0,18,15,0,0,15,0,0,0,0,0,14,0,0,15,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0
Ch4,24.5,21.5,0,0,24,21,0,0,21,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,20.5,17.5,0,0,17.5,0,0,0,0,0,16.5,0,0,17.5,0,0,0,0,0,18,15,0,0,15,0,0,0,0,0,14,0,0,15,0,0,0,0,0,18,15,0,0,15,0,0,0,0,0,14,0,0,15,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0
Ch5,24.5,21.5,0,0,24,21,0,0,21,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,20.5,17.5,0,0,17.5,0,0,0,0,0,16.5,0,0,17.5,0,0,0,0,0,18,15,0,0,15,0,0,0,0,0,14,0,0,15,0,0,0,0,0,18,15,0,0,15,0,0,0,0,0,14,0,0,15,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0
Ch6,24.5,21.5,0,0,24,21,0,0,21,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,20.5,17.5,0,0,17.5,0,0,0,0,0,16.5,0,0,17.5,0,0,0,0,0,18,15,0,0,15,0,0,0,0,0,14,0,0,15,0,0,0,0,0,18,15,0,0,15,0,0,0,0,0,14,0,0,15,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0
Ch7,24.5,21.5,0,0,24,21,0,0,21,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,20.5,17.5,0,0,17.5,0,0,0,0,0,16.5,0,0,17.5,0,0,0,0,0,18,15,0,0,15,0,0,0,0,0,14,0,0,15,0,0,0,0,0,18,15,0,0,15,0,0,0,0,0,14,0,0,15,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0
Ch8,24.5,21.5,0,0,24,21,0,0,21,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,20.5,17.5,0,0,17.5,0,0,0,0,0,16.5,0,0,17.5,0,0,0,0,0,18,15,0,0,15,0,0,0,0,0,14,0,0,15,0,0,0,0,0,18,15,0,0,15,0,0,0,0,0,14,0,0,15,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0
Ch9,24.5,21.5,0,0,24,21,0,0,21,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,20.5,17.5,0,0,17.5,0,0,0,0,0,16.5,0,0,17.5,0,0,0,0,0,18,15,0,0,15,0,0,0,0,0,14,0,0,15,0,0,0,0,0,18,15,0,0,15,0,0,0,0,0,14,0,0,15,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0
